09.08 - 21:00,League 27.round,HC Jelgava Stars,['team_id=42152'],4:3,['match_id=897112367'],bananiosi,['team_id=18832']
10.08 - 21:00,League 28.round,armijas vieniba,['team_id=22484'],0:2,['match_id=897112385'],HC Jelgava Stars,['team_id=42152']
11.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],1:3,['match_id=897276602'],HC Detroit Wings,['team_id=35664']
12.08 - 21:00,Friendly,HC Detroit Wings,['team_id=35664'],4:4,['match_id=897276791'],HC Jelgava Stars,['team_id=42152']
13.08 - 21:00,League 29.round,HC Jelgava Stars,['team_id=42152'],4:2,['match_id=897112401'],Bauskas Alkani,['team_id=946']
14.08 - 21:00,League 30.round,Latvijas Patriots,['team_id=18769'],1:4,['match_id=897112415'],HC Jelgava Stars,['team_id=42152']
15.08 - 22:00,Friendly,Flying Hope,['team_id=58395'],1:9,['match_id=897276871'],HC Jelgava Stars,['team_id=42152']
16.08 - 21:00,Playoff,MeemaisTeam,['team_id=43795'],3:4,['match_id=897294443'],HC Jelgava Stars,['team_id=42152']
17.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],2:5,['match_id=897294447'],MeemaisTeam,['team_id=43795']
18.08 - 20:00,Friendly,Pressburg Wild,['team_id=34787'],2:4,['match_id=897316941'],HC Jelgava Stars,['team_id=42152']
19.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],2:2,['match_id=897316940'],Pressburg Wild,['team_id=34787']
20.08 - 21:00,Playoff,MeemaisTeam,['team_id=43795'],1:3,['match_id=897318969'],HC Jelgava Stars,['team_id=42152']
21.08 - 21:00,Playoff,HC Anaheim,['team_id=19579'],1:4,['match_id=897327731'],HC Jelgava Stars,['team_id=42152']
22.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],3:5,['match_id=897316948'],HC SHarkLV,['team_id=14295']
23.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],8:3,['match_id=897327733'],HC Anaheim,['team_id=19579']
24.08 - 22:00,Friendly,Universal Team,['team_id=4765'],7:3,['match_id=897335123'],HC Jelgava Stars,['team_id=42152']
25.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],3:1,['match_id=897316942'],HC Foreign Basterds,['team_id=42470']
26.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],6:0,['match_id=897324247'],HC Pilsen Lions,['team_id=29598']
27.08 - 21:00,Playoff,Soda Beņķa Sildītāji,['team_id=28975'],11:3,['match_id=897340455'],HC Jelgava Stars,['team_id=42152']
28.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],6:2,['match_id=897340456'],Soda Beņķa Sildītāji,['team_id=28975']
