23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
Rodrigo Bergmanis - 2:1 rebound(perfect pass Jānis Pūķītis),20:32,
,20:50,Aggressiveness +1
 - 3:1 Counter-attacks(unassisted),23:21,
,24:21,penalty player - Dzidris Skrastiņš4 on 5
"Chad Oliver - 4:1 PP(Jan Bartnicki, Jānis Pūķītis)",24:29,
,24:29,Goalie has temporarily lost his confidence in himself
penalty player - Paavo Runtti4 on 5,27:26,
,30:26,penalty player - Folmer Toft4 on 5
penalty player - Vasilijs Billerts4 on 5,36:25,
,36:29,"Folmer Toft - 4:2 PP(Ilya Tonkonogov, Dennis Ivarsson)"
"Vasilijs Billerts - 5:2 Counter-attacks(excellent pass Jānis Griezis, Nauris Baltiņš)",36:55,
,38:29,Ice time distribution 65/55/45/35
,40:00,Tactical points offense 5 defense 5
Rodrigo Bergmanis - 6:2 Counter-attacks(perfect pass Chad Oliver),40:29,
,42:45,penalty player - Staņislavs Bullītis4 on 5
Rodrigo Bergmanis - 7:2 PP(perfect pass Jānis Pūķītis),42:47,
,44:24,penalty player - Uvis Vakseris4 on 5
penalty player - Rodrigo Bergmanis4 on 4,45:16,
,51:32,penalty player - Alberts Timanovskis4 on 5
"Chad Oliver - 8:2 PP(genius pass Rodrigo Bergmanis, Jānis Pūķītis)",52:41,
Jan Bartnicki - 9:2 Counter-attacks(unassisted),56:54,
28.06 - 21:00,League 3.round,Silikātu ledlauži,['team_id=22517'],0:1,['match_id=897112228'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - 4 on 5,08:54,
penalty player - 4 on 5,14:52,
,20:00,Tactical points offense 5 defense 5
penalty player - 4 on 5,22:02,
,25:54,penalty player - Staņislavs Bullītis4 on 5
,31:41,penalty player - Dennis Ivarsson4 on 5
penalty player - 4 on 5,39:09,
,40:00,Aggressiveness +1
,40:00,Tactical points offense 5 defense 5
,40:34,penalty player - Folmer Toft4 on 4
,40:39,"Vladimirs Znotiņš - 0:1 (genius pass Juris Norītis, Ilya Tonkonogov)"
,44:25,penalty player - Dzidris Skrastiņš4 on 5
,48:42,penalty player - Edgars Miķelsons4 on 5
penalty player - Maksim  Motsny4 on 5,54:00,
penalty player - Tomáš Horák4 on 5,57:41,
penalty player - 3 on 5,57:58,
29.06 - 21:00,League 4.round,HC Jelgava Stars,['team_id=42152'],4:0,['match_id=897112234'],ZibensX,['team_id=43025']
Tactical points offense 5 defense 5,00:00,
,01:02,penalty player - Agnis Ķēniņš4 on 5
,04:04,penalty player - Edžus Brūklenis4 on 5
Vasile Halip - 1:0 PP (unassisted),04:11,
,05:09,penalty player - Elmārs Rostovskis4 on 5
Staņislavs Bullītis - 2:0 (genius pass Dennis Ivarsson),07:20,
Cyrille Boulanger - 3:0 (Edgars Miķelsons),17:41,
penalty player - Juris Norītis4 on 5,20:00,
Tactical points offense 5 defense 5,20:00,
penalty player - Vladimirs Znotiņš3 on 5,20:26,
,24:27,penalty player - 4 on 5
Maigonis Ušackis - 4:0 PP(neat pass Petr Pozhnikov),26:06,
,31:04,penalty player - Edžus Brūklenis4 on 5
,32:19,penalty player - Silvis Zaķis3 on 5
,37:20,penalty player - Aigars Dzejnieks4 on 5
Tactical points offense 5 defense 5,40:00,
,59:07,penalty player - Atis Brūklenis4 on 5
30.06 - 22:00,Friendly,C.S IceRabbits Napoca,['team_id=24755'],0:6,['match_id=897228938'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Paul Buscan4 on 5,03:03,
,11:04,penalty player - Juris Norītis4 on 5
,14:16,Joshua Adams - 0:1 (unassisted)
,20:00,Tactical points offense 5 defense 5
penalty player - Marian Ilionescu4 on 5,22:58,
,24:09,Atis Zilgalvis - 0:2 PP (Jurģis Nagrebis)
,33:39,Paul Leroy - 0:3 (perfect pass Ilya Tonkonogov)
,35:14,"Vladimirs Znotiņš - 0:4 (neat pass Andris Kraulis, Hubert Sládek)"
penalty player - Mircea Olteanu4 on 5,38:12,
,39:19,Atis Zilgalvis - 0:5 PP(excellent pass Jurģis Nagrebis)
Goalie has temporarily lost his confidence in himself,39:19,
,40:00,Tactical points offense 5 defense 5
penalty player - Rareş Simionescu4 on 5,43:59,
,47:00,penalty player - Andris Kraulis4 on 5
,47:23,penalty player - Edgars Miķelsons3 on 5
,53:43,Jurģis Nagrebis - 0:6 (genius pass Juris Norītis)
,56:26,penalty player - Atis Zilgalvis4 on 5
01.07 - 22:00,Friendly,C.S IceRabbits Napoca,['team_id=24755'],3:1,['match_id=897228939'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
,06:42,penalty player - Edmunds Bambergs4 on 5
penalty player - Cätälin Balitiu4 on 5,13:01,
Grigore Piţa - 1:0 (unassisted),15:05,
,20:00,Tactical points offense 5 defense 5
,26:02,penalty player - Andris Kraulis4 on 5
Aurel Pîrvu - 2:0 (genius pass Codrin Pătru),38:43,
,39:10,Pulling the goalie
,40:00,Tactical points offense 5 defense 5
penalty player - Cätälin Balitiu4 on 5,43:05,
,44:47,Atis Zilgalvis - 2:1 PP(poor pass Andris Kraulis)
"Florin Şerban - 3:1 (Codrin Pătru, Cätälin Balitiu)",50:59,
,52:48,penalty player - Osvalds Jākabsons4 on 5
02.07 - 21:00,League 5.round,HC Anaheim,['team_id=19579'],8:2,['match_id=897112262'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
Tactical points offense 4 defense 6,00:00,
,06:09,penalty player - Folmer Toft4 on 5
"Mārtiņš Engurs - 1:0 PPrebound(genius pass Hannu Kalaja, Rolands Zālītis)",07:47,
,07:47,Pulling the goalie
Vjačeslavs Pavārds - 2:0 Counter-attacks(Rolands Zālītis),18:30,
,20:00,Aggressiveness +1
,20:00,Tactical points offense 5 defense 5
Tactical points offense 4 defense 6,20:00,
Miķelis Dambergs - 3:0 Short passes(Sumiteru Hanabusa),24:08,
penalty player - Ēriks Roze4 on 5,24:39,
,25:25,penalty player - Ilya Tonkonogov4 on 4
Mārtiņš Engurs - 4:0 PP (Hannu Kalaja),27:16,
,36:49,"Folmer Toft - 4:1 rebound(neat pass Dzidris Skrastiņš, Mário Iván)"
,38:08,"Staņislavs Bullītis - 4:2 (perfect pass Leroy Sizemore, Dennis Ivarsson)"
,38:41,Ice time distribution 65/55/45/35
Jānis Cipāns - 5:2 Short passes(excellent pass Mārtiņš Engurs),38:52,
Tactical points offense 5 defense 5,40:00,
,40:00,Tactical points offense 5 defense 5
"Dalibor Benčat - 6:2 (Rolands Zālītis, Inesis Vilde)",41:08,
Inesis Vilde - 7:2 (Rolands Zālītis),43:20,
"Vjačeslavs Pavārds - 8:2 Counter-attacks(excellent pass Inesis Vilde, Dalibor Benčat)",46:20,
,53:19,penalty player - Jurģis Nagrebis4 on 5
penalty player - Vjačeslavs Pavārds4 on 5,55:58,
03.07 - 21:00,League 6.round,MeemaisTeam,['team_id=43795'],4:0,['match_id=897112264'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
,05:02,penalty player - Edgars Miķelsons4 on 5
penalty player - Mārtiņš Sirsniņš4 on 5,12:07,
penalty player - Ashton McLean4 on 5,16:09,
,19:07,penalty player - Joshua Adams4 on 5
,19:34,penalty player - Dennis Ivarsson3 on 5
,20:00,Tactical points offense 5 defense 5
"Ashton McLean - 1:0 Behind the net(neat pass Pertti Palmi, Uldis Kalndruva)",25:03,
,25:34,Aggressiveness +1
,25:34,Pulling the goalie
,26:32,penalty player - Alberts Timanovskis4 on 5
Igors Vizulis - 2:0 (Flavian Beccarelli),37:51,
,38:32,penalty player - Jurģis Nagrebis4 on 5
,38:32,Ice time distribution 65/55/45/35
,40:00,Tactical points offense 5 defense 5
Guntars Janševičs - 3:0 PPrebound(perfect pass Niks Ķirsis),40:15,
penalty player - Mareks Vītoliņš4 on 5,42:57,
