Next season!,0

Atis Zilgalvis,21,237,50,44,36,4.4,-5,0
Bohuslav Kotrba,28,329,106,17,34,4.1,11,2
Francis Taukulis,20,203,32,44,12,4.6,-6,0
Jurģis Nagrebis,20,188,26,47,26,3.9,-7,0
Ilya Tonkonogov,25,339,81,33,36,4.1,9,0
Juris Norītis,19,171,20,56,1,5.5,1,2
Vasile Halip,27,367,112,21,34,5.0,6,3
Maigonis Ušackis,23,290,89,47,36,4.6,18,0
Leroy Sizemore,25,307,36,25,36,3.9,-4,0
Joshua Adams,25,325,71,27,32,3.8,9,7
Folmer Toft,25,293,141,24,29,4.2,-7,0
Staņislavs Bullītis,20,179,36,46,4,4.3,-2,1
Uvis Vakseris,20,200,40,46,4,4.0,-2,0
Mário Iván,26,312,110,21,34,4.6,5,8
Andris Kraulis,17,92,14,56,2,4.4,-1,0
Edmunds Bambergs,17,90,14,52,2,4.1,0,0
Petr Pozhnikov,24,313,74,31,36,4.1,-5,0
Wiktor Juszko,21,222,55,45,5,5.0,0,0
Dennis Ivarsson,25,312,108,26,36,4.8,17,2
Dzidris Skrastiņš,20,194,28,43,2,3.9,-1,0
Alberts Timanovskis,20,184,23,47,24,4.8,-1,2
Niks Silmacis,18,117,27,60,2,4.5,0,0
Next season!,11

Vladimirs Znotiņš,21,231,37,45,35,4.0,-2,3
Edgars Miķelsons,23,263,45,42,31,4.0,-7,0
Atis Zilgalvis,22,271,67,50,37,4.3,9,0
Bohuslav Kotrba,29,340,120,15,35,4.5,13,1
Francis Taukulis,21,229,44,39,34,4.5,-1,6
Jurģis Nagrebis,21,219,39,46,36,4.0,0,1
Ilya Tonkonogov,26,358,101,28,37,4.1,17,3
Juris Norītis,20,202,27,45,11,4.1,1,2
Vasile Halip,28,378,126,16,32,4.5,5,9
Maigonis Ušackis,24,310,108,31,37,4.3,17,0
Leroy Sizemore,26,320,49,20,36,4.0,0,2
Joshua Adams,26,343,89,27,36,4.8,16,2
Staņislavs Bullītis,21,209,46,41,36,4.3,-3,1
Uvis Vakseris,21,231,41,45,1,6.0,2,0
Mário Iván,27,326,126,18,34,4.8,6,1
Andris Kraulis,18,129,19,59,7,4.5,-3,3
Edmunds Bambergs,18,128,18,56,5,3.7,-4,0
Petr Pozhnikov,25,328,85,25,32,3.9,0,9
Wiktor Juszko,22,255,64,44,2,6.2,0,0
Dennis Ivarsson,26,326,126,22,35,6.1,16,3
Dzidris Skrastiņš,21,223,34,42,6,4.1,1,2
Alberts Timanovskis,21,213,33,45,33,3.6,-8,7
Niks Silmacis,19,159,34,60,21,4.0,-2,0
Next season!,12

Vladimirs Znotiņš,22,261,47,43,29,4.0,-11,3
